Male,Female,Total,HHs,Av. HH Size,Approx. Area (Sq.Km),page,2013,col_1,col_2,col_3,col_4,2010,2011,col_5,2012,col_7,col_8,col_10,col_11,col_12,col_13,Zone
"5,482,381 7,607,113 10,628,368 14,205,589 19,192,458","5,460,324 7,719,948 10,815,268 14,481,018 19,417,639","10,942,705 15,327,061 21,443,636 28,686,607 38,610,097","1,938,186 2,956,369 4,352,751 6,371,370 8,767,954",5.6 5.2 4.9 4.5 4.4,"581,313 581,313 581,313 581,313 581,313",23,,,,,,,,,,,,,,,,
,,,,,,23,Males,Females,Total,Males,Females,,,,,,,,,,,
,,,,,,23,"13,025 26,742 42,516 112,197 50,647 57,387 113,619 245,127 211,083 195,962 228,074 20,410","12,534 25,906 40,509 107,681 46,594 53,750 122,678 233,223 241,197 211,166 248,376 27,356","25,558 52,649 83,024 219,882 97,248 111,126 236,286 478,361 452,269 407,128 476,449 47,767","13,182 27,061 43,027 113,544 51,256 58,077 114,983 248,069 213,619 198,316 230,813 20,656","12,633 26,112 40,831 108,536 46,963 54,177 123,654 235,076 243,115 212,845 250,350 27,574",,,,,,,,,,,
,,,,,,24,Male,Female,Total,,Female,Male,Male,Total,Male,Female,Total,Female,Total,Male,Female,
,,,,,,24,"67,324 71,857 68,545 59,559 35,229 26,433 23,630 21,408 15,518 14,185 12,497 10,749 8,866 5,401 5,142 3,082 6,785","63,526 66,888 63,964 51,313 35,057 32,315 27,872 24,808 17,796 17,425 14,291 12,431 9,680 6,815 5,841 3,994 10,113","128,546 136,285 130,163 108,834 69,080 57,843 50,693 45,483 32,784 31,125 26,360 22,812 18,242 12,031 10,807 6,971 16,666",,"63,970 67,355 64,410 51,671 35,301 32,540 28,067 24,981 17,921 17,547 14,391 12,518 9,748 6,863 5,882 4,022 10,183","65,020 69,398 66,199 57,521 34,024 25,528 22,821 20,675 14,987 13,699 12,069 10,381 8,562 5,216 4,966 2,977 6,553","65,765 70,193 66,957 58,180 34,414 25,820 23,083 20,912 15,159 13,856 12,207 10,500 8,660 5,276 5,023 3,011 6,628","129,735 137,548 131,368 109,851 69,715 58,361 51,149 45,893 33,080 31,403 26,598 23,018 18,408 12,139 10,905 7,033 16,811","66,533 71,012 67,739 58,859 34,815 26,122 23,352 21,156 15,336 14,018 12,350 10,623 8,761 5,337 5,082 3,046 6,706","64,440 67,850 64,884 52,051 35,561 32,780 28,273 25,165 18,052 17,676 14,497 12,610 9,819 6,913 5,925 4,051 10,258","130,973 138,862 132,623 110,910 70,376 58,901 51,625 46,321 33,388 31,694 26,847 23,232 18,581 12,251 11,007 7,097 16,964","64,935 68,371 65,382 52,451 35,834 33,031 28,490 25,358 18,191 17,811 14,608 12,707 9,895 6,967 5,970 4,082 10,337","132,259 140,228 133,927 112,010 71,063 59,464 52,120 46,766 33,709 31,996 27,105 23,456 18,760 12,367 11,113 7,165 17,122","68,133 72,720 69,368 60,275 35,652 26,750 23,914 21,665 15,705 14,355 12,647 10,878 8,972 5,466 5,204 3,119 6,867","65,451 68,914 65,902 52,867 36,119 33,294 28,717 25,560 18,335 17,953 14,724 12,808 9,973 7,022 6,018 4,115 10,419",
,,,,,,24,"456,210","464,129","904,725",,"467,369","440,597","445,646","913,015","450,849","470,803","921,652","474,420","930,630","461,688","478,191",
,,,,,,25,Expected,Registered,Coverage,Expected,Registered,,,,,,,,,,,
,,,,,,25,"33,296 11,302","10,866 3 ,630",32.6 32.1,"3 3,324 1 1,184","1 2,988 4 ,178",,,,,,,,,,,
,,,,,,25,Male,Female,Total,Male,Female,,,,,,,,,,,
,,,,,,25,"5,493 1,941","5,373 1,689","10,866 3,630","6,447 2,277","6,541 1,901",,,,,,,,,,,
,,,,,,25,Health Facility,Home,Number,Health Facility,Home,,,,,,,,,,,
,,,,,,25,84.5 64.6,15.6 35.4,"10,866 3,630",87.2 55.9,12.8 44.1,,,,,,,,,,,
,,"585 487 269 240 214 181 146 123 112 102 1 ,171",,,,25,,,,,,,,,,,,,,,,
,,"3,630",,,,25,,,,,,,,,,,,,,,,
,,,,,,30,,,,,,,,,,,,,,,,LH 2 UM 3 UM4 LM3 LM4 LM5
