col_0,Units,col_2,page,Climatic Condition,Unit,2014,Weather Station,2013,2014*,col_4,col_7,col_8,Lake Victoria Kisumu County Beaches,col_1,Quantity (Kg),County,National
Altitude: Highest point Altitude: Lowest point Latitudes Longitudes,: metres a.s.l : metres a.s.l : degrees N/S : degrees E/W,"1,835 1,100 00 20'S 00 50'S 330 20'E 350 20'E",21,,,,,,,,,,,,,,
,,,22,Rainfall (annual avergage) Long rains (average) Short rains (average) Temperature (annual average Lowest) Temperature (annual average highest) Temperature (annual average),: mm : mm : mm 0C : 0C : 0C :,725-1200 1000-1800 450-600 9⁰C-18⁰C 25⁰C-35⁰C 17⁰C-26.5⁰C,,,,,,,,,,,
,,,22,"Source: Meteorological Department,Kisumu County",,,,,,,,,,,,,
,,Amount(mm),22,,,,,Rainy days,Rainy days,Amount(mm),Amount(mm),Rainy days,,,,,
,,54.2 31.3 238.1 212 99.6 63.7 36.6 93 165.4 86.9 102.1 143.4,22,,,,H C R A E S E R L A R U T L U C RI G A S O B KI,7 7 14 21 16 8 5 12 15 6 14 10,4 5 10 8 12 6 7 13 12 17 10 9,40.2 29.9 179.3 66.8 98.9 99.1 97.9 184.2 98.7 141.2 137.6 137.6,50.2 83.1 244.2 253 128.3 46.4 53.1 114.1 227.6 91.8 83.5 129.4,8 5 11 9 11 11 10 8 7 18 15 18,,,,,
,,"1,326.3",22,,,,,1 35.0,1 13.0,"1,311.4","1,504.7",1 31.0,,,,,
,,,38,,,,,9 4 4 42 7 75 5 00 3 00 3 00 3 00,,,,,,,,,
,,,38,,,,,"2 ,711",,,,,,,,,
,,Quantity (Kg),38,,,,,,,,,,Quantity (Tonnes),Value Ksh '000',,,
,,"197,508 250,852",38,,,,,,,,,,1 22.8 3 59.5,"1 2,695,148 4 1,624,501",,,
,,,38,,,,,,,,,,,,"976,939 667,547 858,780 512,020 637,878 366,774 166,320 122,546",,
,,,38,,,,,,,,,,,,"4,309,800",,
,,,39,,,,,,,,,,,,"368,730 371,715 439,070 1,090,328 331,610",,
,,,39,,,,,,,,,,,,"2,601,453",,
,,,42,,,,,- - 600,,,,,,,,,
,,,42,,,,,600,,,,,,,,,
,,,42,,,,,- - - 530 - - - - - -,,,,,,,,,
,,,73,,,,,,,,,,,,,8 4 9 8 6 2 6 5 2 0 8 8 5 3 8 2 8 9 6 3 1 4 0 4 4 1 1 0 7 3 3 5 7 3 1 8 1 7 6 8 9 9 0 8 4 9 8 6 2,77 85 53 46 6 59 34 54 51 10 24 23 68 26 4 11 4 77 85 53
