Number,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,page,col_0,Total,Sex,Households,Land Area,Density
Year,2019,,,2020,,,2021,,,2022,,,2023,,,20,,,,,,
Sub county,Divi- sions,Loca- tions,Sub- locations,Divi- sions,Loca- tions,Sub- locations,Divi- sions,Loca- tions,Sub- locations,Divi- sions,Loca- tions,Sub- locations,Divi- sions,Loca- tions,Sub- locations,20,,,,,,
,,,,,,,,,,,,,,,,20,,,,,,
HomaBay,1,8,11,1,8,11,2,9,19,2,9,19,2,9,19,20,,,,,,
Ndhiwa,6,29,50,6,29,50,6,29,50,6,29,54,6,29,54,20,,,,,,
Rachuonyo South,2,12,20,2,12,20,2,12,20,2,12,20,2,12,20,20,,,,,,
Rachuonyo North,1,12,30,1,12,30,1,12,30,1,12,30,3,13,33,20,,,,,,
Rachuonyo East,1,11,21,1,11,21,2,11,21,2,14,24,2,14,24,20,,,,,,
Rangwe,2,13,17,2,13,17,2,13,17,2,17,24,2,17,24,20,,,,,,
Suba South,2,9,24,2,9,24,2,9,24,2,9,24,1,5,15,20,,,,,,
Mbita,3,12,26,3,13,26,3,14,28,3,14,28,2,10,22,20,,,,,,
Rachuonyo West,,,,,,,,,,,,,1,11,29,20,,,,,,
Suba Central,,,,,,,,,,,,,1,4,9,20,,,,,,
Suba West,,,,,,,,,,1,4,7,1,4,7,20,,,,,,
Sub County,Sex,,,Households,,,,,,,,,,,,22,,,,,,
,Total,Male,Female,Total,Conventional,Group Quarters,,,,,,,,,,22,,,,,,
,,,,,,,,,,,,,,,,22,,,,,,
Homabay,"218,136","55,756","61,681","48,062","28,471",847,,,,,,,,,,22,,,,,,
Ndihwa,,,,,,,,,,,,,,,,22,,,,,,
Rachuonyo North,"121,822","85,409","93,273","27,319","41,661",148,,,,,,,,,,22,,,,,,
Rachuonyo East,,,,,,,,,,,,,,,,22,,,,,,
Rachuonyo South,"117,732","61,663","69,151","27,003","30,693",297,,,,,,,,,,22,,,,,,
Rangwe,,,,,,,,,,,,,,,,22,,,,,,
Suba North,"122,383","60,530","64,406","27,769","29,662",104,,,,,,,,,,22,,,,,,
,,,Female,Total,,Group Quarters,,,,,,,,,,22,,,Male,Conventional,Sq. Km,Persons per Sq. Km
,,,"592,367","262,036",,"1,746",,,,,,,,,,22,Homa Bay County,"1,131,950","539,560","260,290","3,152.5",359
,,,"61,681","29,318",,847,,,,,,,,,,22,Homa Bay Sub-County,"117,439","55,756","28,471",182.0,645
,,,"61,681","29,318",,847,,,,,,,,,,22,,"117,439","55,756","28,471",182.0,645
,,,"13,287","7,066",,2,,,,,,,,,,22,Asego,"25,175","11,887","7,064",13.6,"1,849"
,,,,,,,,,,,,,,,,22,Arujo,,,,,
,,,"104,,318596","51,,987153",,728 -,,,,,,,,,,22,East Kanyada,"207,,089778","93,,770272","51,,284173",1 85..24,"2 , 456151"
,,,,,,,,,,,,,,,,22,Homa Bay Town,,,,,
,,,"161,,736806","25,,812830",,7 7-,,,,,,,,,,22,Kalanya Kanyango,"1221,,860414","160,,024518","25,,812033",3381..32,363943
,,,,,,,,,,,,,,,,22,Kanyabala,,,,,
,2019,,,2020,,,2021,,,,,,,,,30,,,,,,
Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,30,,,,,,
,,,,,,,,,,,,,,,,30,,,,,,
"122,948","55,756","61,681","117,439","57,228","63,309","120,537","58,373","64,576",,,,,,,,30,Homa Bay,,,,,
"228,364",,,,,,,"108,573","119,792",,,,,,,,30,,,,,,
"187,067","85,409","93,273","178,686","87,664","95,735","183,399","89,417","97,650",,,,,,,,30,Rachuonyo North,,,,,
"127,537",,,,,,,"60,417","67,120",,,,,,,,30,,,,,,
"136,953","61,663","69,151","130,814","63,291","70,977","134,267","64,557","72,396",,,,,,,,30,Rachuonyo South,,,,,
"123,254",,,,,,,"58,004","65,250",,,,,,,,30,,,,,,
"130,799","60,530","64,406","124,938","62,128","66,106","128,234","63,371","67,428",,,,,,,,30,Suba North,,,,,
"1,18152,084,162 4","53 9 , 5 6 509 ,383","592,36672 ,998","1,1311,92520,3 83","55630,,890541","60684,,060651","1,116215,,861102","56642,,818700","62605,,196564",,,,,,,,30,T O T SAuLba South,,,,,
,2022,,,2023,,,,,,,,,,,,30,,,,,,
Total,Male,Female,Total,Male,Female,,,,,,,,,,,30,,,,,,
,,,,,,,,,,,,,,,,30,,,,,,
"127,784","59,523","65,848","125,371","60,669","67,116",,,,,,,,,,,30,Homa Bay,,,,,
"237,347","110,712","122,152","232,864","112,843","124,503",,,,,,,,,,,30,,,,,,
"194,425","91,179","99,574","190,753","92,934","101,491",,,,,,,,,,,30,Rachuonyo North,,,,,
"132,553","61,608","68,442","130,050","62,794","69,760",,,,,,,,,,,30,,,,,,
"142,340","65,829","73,823","139,651","67,096","75,244",,,,,,,,,,,30,Rachuonyo South,,,,,
"128,102","59,147","66,536","125,682","60,286","67,816",,,,,,,,,,,30,,,,,,
"135,944","64,619","68,757","133,376","65,863","70,081",,,,,,,,,,,30,Suba North,,,,,
"1,231,659 133,164","576,011 63,395","632,386 67,254","1,208,397 130,649","587,100 64,615","644,559 68,549",,,,,,,,,,,30,TOTAL Suba South,,,,,
