Male,Female,Total,HHs,Av. HH Size,Approx. Area (Sq.Km),page,2013,col_1,col_2,col_3,col_4,2010,2011,col_5,2012,col_7,col_8,col_10,col_11,col_12,col_13,Quantity (Million litres),Quantity (Tons)
"5,482,381 7,607,113 10,628,368 14,205,589 19,192,458","5,460,324 7,719,948 10,815,268 14,481,018 19,417,639","10,942,705 15,327,061 21,443,636 28,686,607 38,610,097","1,938,186 2,956,369 4,352,751 6,371,370 8,767,954",5.6 5.2 4.9 4.5 4.4,"581,313 581,313 581,313 581,313 581,313",21,,,,,,,,,,,,,,,,,
,,,,,,21,Males,Females,Total,Males,Females,,,,,,,,,,,,
,,,,,,21,"2,450 4,927 7,868 17,455 7,166 10,504 21,067 39,866 38,190 35,578 40,712 2,770","2,299 4,381 7,368 16,366 6,689 10,432 20,445 37,104 35,657 33,711 37,895 2,741","4,749 9,306 15,237 33,821 13,855 20,937 41,512 76,968 73,849 69,288 78,607 5,512","2,479 4,985 7,963 17,664 7,252 10,631 21,320 40,343 38,651 36,005 41,201 2,805","2,318 4,414 7,427 16,496 6,742 10,516 20,609 37,396 35,943 33,980 38,198 2,763",,,,,,,,,,,,
,,,,,,22,Male,Female,Total,,Female,Male,Male,Total,Male,Female,Total,Female,Total,Male,Female,,
,,,,,,22,"12,707 11,433 10,433 8,549 7,247 6,008 4,555 3,601 2,982 2,636 2,373 1,457 1,304 759 827 437 747","11,423 10,560 9,445 7,906 7,171 5,767 4,028 3,268 2,614 2,225 1,875 1,063 1,157 592 802 355 933","23,695 21,601 19,521 16,162 14,170 11,569 8,427 6,746 5,494 4,771 4,166 2,471 2,416 1,325 1,601 777 1,654",,"11,502 10,633 9,511 7,961 7,221 5,807 4,057 3,290 2,632 2,241 1,888 1,070 1,165 596 807 357 939","12,272 11,042 10,076 8,256 6,999 5,802 4,399 3,478 2,880 2,546 2,291 1,408 1,259 733 799 422 721","12,413 11,168 10,192 8,351 7,079 5,869 4,449 3,518 2,913 2,575 2,318 1,424 1,274 742 808 427 729","23,915 21,801 19,703 16,312 14,300 11,676 8,506 6,808 5,545 4,816 4,206 2,494 2,439 1,338 1,615 784 1,668","12,558 11,299 10,311 8,448 7,162 5,937 4,501 3,559 2,947 2,605 2,345 1,440 1,289 751 818 432 738","11,587 10,711 9,581 8,019 7,274 5,850 4,086 3,315 2,652 2,257 1,902 1,078 1,173 601 813 360 946","24,145 22,010 19,892 16,467 14,436 11,787 8,587 6,874 5,599 4,862 4,247 2,518 2,462 1,352 1,631 792 1,684","11,676 10,794 9,654 8,081 7,330 5,895 4,118 3,340 2,672 2,275 1,916 1,086 1,182 605 820 363 953","23,695 23,695 23,695 23,695 23,695 23,695 23,695 23,695 23,695 23,695 23,695 23,695 23,695 23,695 23,695 23,695 23,695","12,860 11,570 10,558 8,652 7,334 6,080 4,609 3,645 3,017 2,668 2,401 1,475 1,320 769 837 443 756","11,769 10,879 9,731 8,145 7,389 5,942 4,151 3,367 2,693 2,293 1,931 1,095 1,192 610 826 366 961",,
,,,,,,22,"78,055","71,184","146,566",,"71,677","75,383","76,249","147,926","77,140","72,205","149,345","72,760","402,815","78,994","73,340",,
,,,,,,23,Male,Female,Total,Male,Female,,,,,,,,,,,,
,,,,,,23,"1,793 402",1391 243,"3,184 645","2,143 289","1,906 215",,,,,,,,,,,,
,,,,,,23,Home (%),Health (%),Total,Home(%),Health (%),,,,,,,,,,,,
,,,,,,23,81.2 47.8,18.8 52.2,"3,184 395",78.4 55.6,21.6 44.4,,,,,,,,,,,,
,,,,,,29,,2014*,2013,,,,,,,,,,,,,2013,
,,,,,,29,,"7,128,000 180,000 6,139,800 .. ..",.. .. .. .. ..,,,,,,,,,,,,,.. .. .. .. .,
,,,,,,29,,2014*,2013,,,,,,,,,,,,,,2013
,,,,,,29,,"4,658 19,561 18,134 2,008","1,163,722 3,260,281 1,972,016 753,301",,,,,,,,,,,,,,"4,798 20,610 18,948 2,086"
