Low Potential,page,Area Cropped (Hectares),col_1,Production (Tonnes),col_3,col_4,2013,With Electricity,Without Electricity,col_2,Type of Road,2014*,Post Offices and Letter Boxes,2014,2015*,KSh Million,Constituency,Selling Unit,col_5,col_6,col_7,col_8,col_9,col_10,col_11
"2,561 .. ..",27,,,,,,,,,,,,,,,,,,,,,,,,
"2,561",27,,,,,,,,,,,,,,,,,,,,,,,,
,27,2013,2014*,2013,2014*,2013,,,,,,,,,,,,,,,,,,,
,27,.. .. .. ..,750 690 305,2.05 0.5 1.6 0.27,2.25 1.61 1.75 0.3,"60,600 9,600 52,000 2,700",,,,,,,,,,,,,,,,,,,
,27,,,,,,"2,000 1,600 2,000",,,,,,,,,,,,,,,,,,
,33,,,,,,,19 .. 19 40,22 .. - -,,,,,,,,,,,,,,,,
,34,,Diesel,,Super Petrol,Diesel,Super Petrol,,,Kerosene,,,,,,,,,,,,,,,
,34,,106.9 109.14 110.31 110.3 104 102.1 105.8 107.38 108.79 107.71 106.48 107.76,,117.97 114.78 116.85 117.4 117.97 117.85 119.1 119.86 114.89 114.13 110.04 105.25,107.95 109.04 108.11 107.06 107.95 108.05 107.91 106.22 105.6 103.91 97.76 94.09,114.5 116.52 120.64 120.6 116.19 111.12 112.46 115.2 117.11 105.51 112.11 112.52,,,86.8 86.9 91.49 91.4 82.4 83.46 82.44 86.87 88.8 88.25 86.03 86.31,,,,,,,,,,,,,,,
,34,,107.22,,115.5,105.3,age 114.5,,,86.76,,,,,,,,,,,,,,,
,36,,,,,,,,,,Earth Murram Bitumen,"1,185.49 263.7 35",,,,,,,,,,,,,
,36,,,,,,,,,,Total,"1,484.19",,,,,,,,,,,,,
,36,,,,,,,,,,"Source: Department of Transport and Roads offices, County Government of Isiolo /Road authorities-KERRA/KUR",,,,,,,,,,,,,,
,36,,,,,,,,,,,,Post Offices Installed Letter boxes Rented Letter boxes Vacant Letter boxes,950 851 99,"1,149 851 298",,,,,,,,,,
,36,,,,,,,,,,,,"Source: Offices of Postal Corporation of Kenya, Isiolo County * Provisional",,,,,,,,,,,,
,54,,2013,,,,,,,2014*,,,,,,Funds,,,,,,,,,
,54,,"2,235.58 0",,,,,,,"2,667.40 0",,,,,,Allocated Funds Equalization funds ( for marginalized Counties),,,,,,,,,
,54,,"2,235.58",,,,,,,"2,667.40",,,,,,Total,,,,,,,,,
,54,,,,,,,,,,,,,,,,,,,,,,,,
,54,,,,,,,,,,,,,,,*Provisional,,,,,,,,,
,54,,,,,,77 68.8,,,,,110 98.3,,,,,Isiolo North Isiolo South,,,,,,,,
,54,,,,,,145,,,,,208,,,,,Total,,,,,,,,
,54,,,,,,"pment Fund, Isiolo County",,,,,,,,,,,,,,,,,,
,54,,,,,,,,,,,,,,,,*Provisional,,,,,,,,
,57,,January,,March,April,,,,February,,,,,,,,,May,June,July,August,September,October,November
,57,,"2700 2 0 9 ,000 4 ,500 7 ,200 6 ,300 6 ,300 1 3,500 7 ,200 6 ,300 4 ,500 1 3,500 1 ,800 1 ,000 1 ,200 1 ,000 6 ,900 3 ,500 1 ,040 3 40 4 ,000 7 ,000 8 00 8 00 1 ,400 1 ,000",,"3150 6 ,000 9,000 3,600 6,300 5,400 6,300 9,000 9,000 5,400 4,500 12,000 3,500 1,000 500 750 4,000 4,000 910 340 4,000 3,800 800 700 2,500 1,250","3000 6 ,500 9,000 3,600 7,200 5,400 7,200 7,200 10,800 5,400 4,500 12,000 4,000 1,000 450 600 4,000 6,400 910 360 3,000 4,500 1,200 900 3,000 1,000",,,,"3,000 4 ,000 9 ,000 4 ,500 6 ,300 5 ,400 6 ,300 9 ,000 9 ,000 5 ,400 4 ,500 1 2,000 2 ,800 1 ,000 5 00 6 00 5 ,000 2 ,700 9 10 3 40 4 ,000 4 ,500 8 00 8 00 2 ,200 1 ,250",,,,,,,,90kg Ext bag 90kg 90kg 90kg 90kg 90kg 90kg 90kg 90kg 90kg 90kg 50kg bag med. Bunch med. bunch 50kg crate net Try Bag Bag Doz. large box bag bag,"3600 5 ,000 9 ,000 3 ,600 7 ,200 6 ,300 6 ,300 9 ,000 1 3,500 5 ,400 4 ,500 1 3,500 4 ,500 1 ,200 4 50 6 00 4 ,000 6 ,400 1 ,300 3 40 3 ,000 3 ,800 8 40 6 50 1 ,800 7 50","3600 5 ,000 6,300 3,600 7,200 6,300 7,200 9,000 13,500 5,400 4,500 12,500 3,200 1,000 500 800 4,000 3,200 910 340 3,200 3,800 840 700 1,400 1,500","3400 3 ,000 9,000 3,600 6,300 6,300 7,200 9,000 13,500 5,400 4,500 12,500 3,200 1,000 500 800 4,000 3,400 910 340 3,200 3,800 840 700 1,500 1,200","3000 4 ,500 9,000 4,500 5,400 5,400 6,300 9,000 10,800 6,300 4,500 13,500 3,300 1,400 500 900 4,000 4,000 910 340 4,500 4,000 960 650 1,800 1,000","2500 4 ,600 9 ,000 4 ,500 5 ,400 5 ,400 6 ,300 9 ,000 1 0,800 6 ,300 4 ,500 1 3,500 3 ,300 1 ,400 5 00 9 00 4 ,000 4 ,480 9 10 3 40 4 ,500 4 ,500 9 60 6 50 2 ,000 1 ,000","2600 4 ,500 9,000 3,600 5,200 5,800 6,300 7,200 10,800 6,300 4,500 15,000 3,500 1,400 450 800 4,000 3,200 910 340 5,500 5,500 960 700 1,500 1,000","3000 6 ,500 9 ,000 3 ,600 7 ,200 5 ,400 7 ,200 7 ,200 1 0,800 5 ,400 4 ,500 1 2,000 4 ,000 1 ,000 4 50 6 50 4 ,000 6 ,400 9 10 3 40 3 ,500 3 ,500 1 ,200 9 00 3 ,000 1 ,000"
,58,,,,,,35 70 30 45 30 80 40 20 60 70 100 100 100 50 30,,,,,,,,,,,,,,,,,,
