col_0,Units,col_2,page,Unit,2013,2011,2012
Altitude: Highest point Altitude: Lowest point,: metres a.s.l : metres a.s.l,"1 ,104 200",18,,,,
Latitudes Longitudes,: degrees N/S : degrees E/W,,18,,,,
Rainfall (annual avergage),,,19,mm,42.24,,
Long rains (average) Short rains (average) Temperature (annual average Lowest) Temperature (annual average highest) Temperature (annual average),,,19,mm mm 0C 0C 0C,78.8 96 26.3 27.0 26.0,,
"Source: Department of Agriculture, County Government of Isi",,,19,,,,
,,,19,,18.5 2.6 64.5 171.9 - - - 3.0 2.0 44.6 164.7 35.1,1 1.0 2 1.4 1 06.7 5 2.2 3 9.3 9 .0 1 .0 6 .1 1 5.6 1 38.8 1 97.7 5 4.2,- 4 .3 4 .2 8 6.2 3 1.7 3 0.6 - - 3 5.0 1 09.6 1 39.3 1 12.3
,,,19,,506.9,6 53.0,5 53.2
,,,30,,75 52 12,,
,,,30,,139,,
,,,30,,"2 7.6 4 ,140,000",,
,,,32,,"0 3 0 12,000",,
