Male,Female,Total,HHs,Av. HH Size,Approx. Area (Sq.Km),page,2010,col_1,col_2,2011,col_4,col_5,2012,col_7,col_8,2013,col_10,col_11,col_12,col_13,col_3,col_0,2014*,col_6,Percent,Sub county,Total Area (km2),Arable Land (km2),Irrigatable Land (Ha),Area Cropped (Hectares),Production (Tonnes)
"5,482,381 7,607,113 10,628,368 14,205,589 19,192,458","5,460,324 7,719,948 10,815,268 14,481,018 19,417,639","10,942,705 15,327,061 21,443,636 28,686,607 38,610,097","1,938,186 2,956,369 4,352,751 6,371,370 8,767,954",5.6 5.2 4.9 4.5 4.4,"581,313 581,313 581,313 581,313 581,313",23,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,
,,,,,,24,"96,656 90,328 79,723 67,448 48,074 36,508 29,505 25,494 19,425 17,636 14,415 11,144 7,821 6,114 4,390 3,383 4,180","97,146 87,773 77,767 70,614 63,163 52,093 34,994 29,495 22,485 20,483 15,645 11,587 8,433 6,678 5,522 4,097 6,572","193,802 178,101 157,490 138,062 111,237 88,601 64,499 54,989 41,910 38,119 30,060 22,731 16,254 12,792 9,912 7,480 10,752","98,747 91,533 81,401 69,564 49,483 37,385 30,559 26,383 20,184 17,976 14,638 11,521 8,114 6,203 4,399 3,307 4,071","99,323 89,471 79,347 70,999 63,464 54,392 37,505 30,365 23,004 20,986 15,995 11,957 8,731 6,772 5,507 3,972 6,390","198,070 181,004 160,748 140,563 112,947 91,777 68,064 56,748 43,188 38,962 30,633 23,478 16,845 12,975 9,906 7,279 10,461","100,836 92,717 82,914 71,538 51,393 38,095 31,686 27,282 21,056 18,407 14,830 11,875 8,455 6,304 4,429 3,241 3,978","101,417 91,145 80,986 71,714 63,586 56,202 40,424 31,359 23,557 21,561 16,353 12,306 9,080 6,878 5,526 3,867 6,226","202,253 183,862 163,900 143,252 114,979 94,297 72,110 58,641 44,613 39,968 31,183 24,181 17,535 13,182 9,955 7,108 10,204","102,950 93,867 84,303 73,396 53,626 38,755 32,847 28,217 22,007 18,940 15,020 12,201 8,825 6,430 4,477 3,193 3,891","103,430 92,775 82,677 72,736 63,617 57,550 43,539 32,603 24,161 22,184 16,730 12,638 9,461 7,012 5,573 3,789 6,069","206,380 186,642 166,980 146,132 117,243 96,305 76,386 60,820 46,168 41,124 31,750 24,839 18,286 13,442 10,050 6,982 9,960","105,081 94,952 85,615 75,202 55,935 39,519 33,986 29,223 22,982 19,582 15,239 12,495 9,196 6,598 4,537 3,165 3,807","105,354 94,331 84,409 74,024 63,673 58,495 46,554 34,259 24,834 22,819 17,134 12,963 9,844 7,187 5,641 3,738 5,917",,,,,,,,,,,
,,,,,,24,"562,244","614,547","1,176,791","575,468","628,180","1,203,648","589,036","642,187","1,231,223","602,945","656,544","1,259,489","617,114","671,176",,,,,,,,,,,
,,,,,,25,,Females,Total,,Females,,,,,Males,,,,,Males,,,,,,,,,,
,,,,,,25,,"21,333 40,225 61,430 140,061 60,104 92,081 204,746 323,154 333,390 316,390 355,219 22,443","42,649 80,407 123,380 281,403 122,277 173,261 367,226 650,116 609,373 316,390 659,053 40,434",,"21,730 40,973 62,537 142,690 61,220 92,641 209,854 329,150 342,026 324,658 364,599 22,483",,,,,"21,315 40,180 61,952 141,341 62,193 81,161 162,453 326,981 275,964",,,,,"21,757 41,012 63,047 143,246 63,575 84,147 167,688 332,638 284,476",,,,,,,,,,
,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,25,,,,,,,,,,"303,834 17,991",,,,,"313,359 18,107",,,,,,,,,,
,,,,,,25,,,Registered,,,Registered,,,,Expected,,,,,Coverage (%),,Expected,Coverage (%),,,,,,,
,,,,,,25,,,"26,116 8,605",,,"2 9,418 8,950",,,,"56,617 13,402",,,,,46.1 64.2,Births Deaths,"57,879 13,619",50.8 65.7,,,,,,,
,,,,,,25,,,,,,,,,,,,,,,,"Source: Civil Registration Services, Kisii County",,,,,,,,,
,,,,,,25,,Female,Total,,Female,,,,,Male,,,,,Male,,,,,,,,,,
,,,,,,25,,"12,275 4,016","26,116 8,605",,"14,275 4,049",,,,,"13,841 4,589",,,,,"15,145 4,901",,,,,,,,,,
,,,,,,26,,,Home (%),,,Home (%),,,,Health Facility (%),,,,,Number,,Health Facility (%),Number,,,,,,,
,,,,,,26,,,12.1 42.4,,,10.7 38.8,,,,87.9 57.6,,,,,"26,116 8,605",Births Deaths,89.3 61.2,"29,418 8,950",,,,,,,
,,,,,,26,,,,,,,,,,,,,,,,"Source: Civil Registration Services, Kisii County",,,,,,,,,
,,,,,,26,,,,,,,,,,,,,,,,,,,13 12.9 5.8 5.5 5.4 5.2 4.8 4.3 2.7 2.1 38.3,,,,,,
,,,,,,26,,,,,,,,,,,,,,,,,,,100,,,,,,
,,,,,,29,,,,,,,,,,,,,,,,,,,,"Southern part of Nyaribari chache,Nyaribari Masaba",,,,,
,,,,,,29,,,,,,,,,,,,,,,,,,,,"Western part of Nyaribari Chache,Bobasi,Bomachoge chache",,,,,
,,,,,,29,,,,,,,,,,,,,,,,,,,,"Bonchari,Kitutu Chache North & South,South Mugirango",,,,,
,,,,,,29,,,,,,,,,,,,,,,,,,,,,238.6 123.0 126.0 161.9 204.2 105.1 138.5 162.5 78.0,148.0 96.0 94.3 113.3 140.0 85.0 118.0 130.0 70.8,4.0 10.0 15.0 320.0 50.0 10.0 10.0 0.0 15.0,,
,,,,,,29,,,,,,,,,,,,,,,,,,,,,"1,337.8",995.5,434.0,,
,,,,,,29,,2014*,,,2013,,,,,,,,,,2014*,,,,,,,,,2013,2013
,,,,,,29,,"62,210 47,842 113 7,357 1,161 109",,,"6,728.20 1,856.83 3.62 488.74 50.92 2.90",,,,,,,,,,"119,703 37,891 515 19,409 20,317 1,474",,,,,,,,,"63,710 46,125 101 7,313 484 72","131,023 35,856 373 18,578 7,455 1,081"
