Resedence,2013,2014*,page,col_0,col_1,col_2,col_3,col_4,col_5,Item,2013/14,2014/15*,Division/Ward Covered,Approx. Area (Km2 )
Foreign Tourists Local Tourists,"1,249 22,150","6,589 27,716",27,,,,,,,,,,,
,,,27,,Name,Residents,,,,,,,,
,,,27,,,2013,2014*,2013,2014*,,,,,
,,,27,National Parks Musuems,Meru National Park Mt. Kenya Meru Museum,"1 2,424 1 1,802 2 5,671","1 7,267 1 2,523 3 2,002","2 ,297 1 2,801 6 13","1 ,959 7 ,662 7 64",,,,,
,,,28,,,,,,,Slaughter house fees Market fee Transfer & Subdivision fee Plot Rent Land Rates Single business permit Parking fees House rent/Stall rent Cess Miraa Cess Building Pans Outdoor adverts and Signboard Hire of County Porperties Application Fees Impounding fees anf fines Sale of tender documents Toilets Fees Miscellaneous Fees Income from county estates Liquor Licence Liqour application Fee Refuse Collection Fee Fire Sation Collection Fee,"1,206,179.00 46,800,647.00 494,603.75 2,915,536.90 39,652,139.00 64,730,795.00 52,986,573.00 13,330,141.50 31,605,116.00 6,693,902.10 5,636,282.00 31,042,238.00 692,386.00 5,743,612.00 2,070,011.00 438,170.00 1,502,937.80 19,107,586.05 2,332,108.65 629,000.00 14,195,995.00 .. ..","5,749,430.00 57,666,372.25 4,511,081.00 8,257,075.00 36,981,926.00 105,569,667.00 72,585,487.00 15,737,372.00 46,573,438.00 .. 12,016,486.00 17,967,820.00 690,590.00 5,488,171.00 1,879,132.00 627,301.00 2,190,980.00 18,366,931.80 1,650,012.00 14,603,650.00 10,265,598.00 6,768,470.00 1,440,400.00",,
,,,28,,,,,,,Others (Meat Inspection and Veterinary Services),..,"4,515,661.00",,
,,,28,,,,,,,Hospital FIF,..,"85,782,119.35",,
,,,28,,,,,,,Public Health,..,"1,354,740.00",,
,,,28,,,,,,,Total,"343,805,959.75","539,239,910.40",,
,,,28,,,,,,,"Source: CountyTreasury, County Government of Meru *Provisional",,,,
,,,30,,,,,,,,,,"Timau, Kibirichia",227.5
,,,30,,,,,,,,,,"Abo West, Nkuene, Abogeta, Igoji, Abothuguchi Central",133.5
,,,30,,,,,,,,,,Timau,207.0
,,,30,,,,,,,,,,Whole of Meru County zone,100.0
,,,30,,,,,,,,,,"MMEat, Abo Central, Abogeta",196.0
,,,30,,,,,,,,,,"Nyaki East, Nkuene, Abogeta, Tigania Central, Uringu, Mutuati",191.0
,,,30,,,,,,,,,,"Timau, Buuri, Igembe North, Mutuati, Kibirichia",261.0
,,,30,,,,,,,,,,"MMEast, Abo East, Nkuene, Abogeta, Mitunguu",314.5
,,,30,,,,,,,,,,"Ntolili, Igembe South, Igembe South East",226.0
,,,30,,,,,,,,,,"Akithi, Tigania W, Tigania North, Mutuati, Ntolele",747.0
,,,30,,,,,,,,,,"Mutuati, Igembe North",842.0
