col_0,Units,col_2,page,Unit,2013,col_3,CROPS/ENTERPRISES,AREAS,High Potential,Medium Potential,Low Potential,All Other Land
Altitude: Highest point Altitude: Lowest point Latitudes Longitudes,metres a.s.l metres a.s.l degrees degrees,"2,611 1,500 N00.01521 E37.06701",19,,,,,,,,,
Rainfall (annual average) Long rains (average) Short rains (average),,,19,mm mm mm,217.2 298.8 135.5,,,,,,,
Temperature (annual average Lowest) Temperature (annual average highest) Temperature (annual average),,,19,0C 0C 0C,16.0 26.0 21.0,18.0 29.0 23.5,,,,,,
"Source: Kenya Meteorological Department, La",,,19,,,,,,,,,
,,,26,,,,"Wheat,Pyrethrum Zones",Nyahururu,,,,
,,,26,,,,,Ndindika,,,,
,,,26,,,,,Igwamiti,,,,
,,,26,,,,"Wheat,Barley,Maize",Igwamiti,,,,
,,,26,,,,Potatoes,Marmanet,,,,
,,,26,,,,"Cattle,Sheep",Ngarua,,,,
,,,26,,,,Barley Zone,Ngobit Ward,,,,
,,,26,,,,Ranching zones Lower Highlands (LH2-5),Nanyuki,,,,
,,,26,,,,,Ngarua,,,,
,,,26,,,,,Rumuruti Ward,,,,
,,,26,,,,,Umande,,,,
,,,26,,,,Livestock & sorghum zones Beans & maize posture & forage areas,"Segera Ward,",,,,
,,,26,,,,,Nanyuki areas,,,,
,,,26,,,,,"Segera Ward,",,,,
,,,26,,,,,Rumuruti,,,,
,,,26,,,,,Lamuria,,,,
,,,26,,,,,Mukogodo,,,,
,,,26,,,,Ranching zones but less stoking due to smaller rainfall & higher evaporations,Chumvi areas,,,,
,,,26,,,,,,"1,240 94,252","47,810 97,405 58,750","10,470 23,385 480,550","166,250 26,543 4,050"
,,,26,,,,,,"95,492","203,965","95,492","196,843"
